tick,len,raw,comp,ratio
792,6,24,16,1.5
793,6,24,16,1.5
794,6,24,16,1.5
795,6,24,16,1.5
796,6,24,16,1.5
797,6,24,16,1.5
798,6,24,16,1.5
799,6,24,16,1.5
800,6,24,16,1.5
801,6,24,16,1.5
802,6,24,16,1.5
803,6,24,16,1.5
804,6,24,16,1.5
805,6,24,16,1.5
806,6,24,16,1.5
807,6,24,16,1.5
808,6,24,16,1.5
809,6,24,16,1.5
810,6,24,16,1.5
811,6,24,16,1.5
812,6,24,16,1.5
813,6,24,16,1.5
814,6,24,16,1.5
815,6,24,16,1.5
816,6,24,16,1.5
817,6,24,16,1.5
818,6,24,16,1.5
819,6,24,16,1.5
820,6,24,16,1.5
821,6,24,16,1.5
822,6,24,16,1.5
823,6,24,16,1.5
824,6,24,16,1.5
825,6,24,16,1.5
826,6,24,16,1.5
827,6,24,16,1.5
828,6,24,16,1.5
829,6,24,16,1.5
830,6,24,16,1.5
831,6,24,16,1.5
832,6,24,16,1.5
833,6,24,16,1.5
834,6,24,16,1.5
835,6,24,16,1.5
836,6,24,16,1.5
837,6,24,16,1.5
838,6,24,16,1.5
839,6,24,16,1.5
840,6,24,16,1.5
841,6,24,16,1.5
842,6,24,16,1.5
843,6,24,16,1.5
844,6,24,16,1.5
845,6,24,16,1.5
846,6,24,16,1.5
847,6,24,16,1.5
848,6,24,16,1.5
849,6,24,16,1.5
850,6,24,16,1.5
851,6,24,16,1.5
852,6,24,16,1.5
853,6,24,16,1.5
854,6,24,16,1.5
855,6,24,16,1.5
856,6,24,16,1.5
857,6,24,16,1.5
858,6,24,16,1.5
859,6,24,16,1.5
860,6,24,16,1.5
861,6,24,16,1.5
862,6,24,16,1.5
863,6,24,16,1.5
864,6,24,16,1.5
865,6,24,16,1.5
866,6,24,16,1.5
867,6,24,16,1.5
868,6,24,16,1.5
869,6,24,16,1.5
870,6,24,16,1.5
871,6,24,16,1.5
872,6,24,16,1.5
873,6,24,16,1.5
874,6,24,16,1.5
875,6,24,16,1.5
876,6,24,16,1.5
877,6,24,16,1.5
878,6,24,16,1.5
879,6,24,16,1.5
880,6,24,16,1.5
881,6,24,16,1.5
882,6,24,16,1.5
883,6,24,16,1.5
884,6,24,16,1.5
885,6,24,16,1.5
886,6,24,16,1.5
887,6,24,16,1.5
888,6,24,16,1.5
889,6,24,16,1.5
890,6,24,16,1.5
891,6,24,16,1.5
892,6,24,16,1.5
893,6,24,16,1.5
894,6,24,16,1.5
895,6,24,16,1.5
896,6,24,16,1.5
897,6,24,16,1.5
898,6,24,16,1.5
899,6,24,16,1.5
900,6,24,16,1.5
901,6,24,16,1.5
902,6,24,16,1.5
903,6,24,16,1.5
904,6,24,16,1.5
905,6,24,16,1.5
906,6,24,16,1.5
907,6,24,16,1.5
908,6,24,16,1.5
909,6,24,16,1.5
910,6,24,16,1.5
911,6,24,16,1.5
912,6,24,16,1.5
913,6,24,16,1.5
914,6,24,16,1.5
915,6,24,16,1.5
916,6,24,16,1.5
917,6,24,16,1.5
918,6,24,16,1.5
919,6,24,16,1.5
920,6,24,16,1.5
921,6,24,16,1.5
922,6,24,16,1.5
923,6,24,16,1.5
924,6,24,16,1.5
925,6,24,16,1.5
926,6,24,16,1.5
927,6,24,16,1.5
928,6,24,16,1.5
929,6,24,16,1.5
930,6,24,16,1.5
931,6,24,16,1.5
932,6,24,16,1.5
933,6,24,16,1.5
934,6,24,16,1.5
935,6,24,16,1.5
936,6,24,16,1.5
937,6,24,16,1.5
938,6,24,16,1.5
939,6,24,16,1.5
940,6,24,16,1.5
941,6,24,16,1.5
942,6,24,16,1.5
943,6,24,16,1.5
944,6,24,16,1.5
945,6,24,16,1.5
946,6,24,16,1.5
947,6,24,16,1.5
948,6,24,16,1.5
949,6,24,16,1.5
950,6,24,16,1.5
951,6,24,16,1.5
952,6,24,16,1.5
953,6,24,16,1.5
954,6,24,16,1.5
955,6,24,16,1.5
956,6,24,16,1.5
957,6,24,16,1.5
958,6,24,16,1.5
959,6,24,16,1.5
960,6,24,16,1.5
961,6,24,16,1.5
962,6,24,16,1.5
963,6,24,16,1.5
964,6,24,16,1.5
965,6,24,16,1.5
966,6,24,16,1.5
967,6,24,16,1.5
968,6,24,16,1.5
969,6,24,16,1.5
970,6,24,16,1.5
971,6,24,16,1.5
972,6,24,16,1.5
973,6,24,16,1.5
974,6,24,16,1.5
975,6,24,16,1.5
976,6,24,16,1.5
977,6,24,16,1.5
978,6,24,16,1.5
979,6,24,16,1.5
980,6,24,16,1.5
981,6,24,16,1.5
982,6,24,16,1.5
983,6,24,16,1.5
984,6,24,16,1.5
985,6,24,16,1.5
986,6,24,16,1.5
987,6,24,16,1.5
988,6,24,16,1.5
989,6,24,16,1.5
990,6,24,16,1.5
991,6,24,16,1.5
992,6,24,16,1.5
993,6,24,16,1.5
994,6,24,16,1.5
995,6,24,16,1.5
996,6,24,16,1.5
997,6,24,16,1.5
998,6,24,16,1.5
999,6,24,16,1.5
1000,6,24,16,1.5
1001,6,24,16,1.5
1002,6,24,16,1.5
1003,6,24,16,1.5
1004,6,24,16,1.5
1005,6,24,16,1.5
1006,6,24,16,1.5
1007,6,24,16,1.5
1008,6,24,16,1.5
1009,6,24,16,1.5
1010,6,24,16,1.5
1011,6,24,16,1.5
1012,6,24,16,1.5
1013,6,24,16,1.5
1014,6,24,16,1.5
1015,6,24,16,1.5
1016,6,24,16,1.5
1017,6,24,16,1.5
1018,6,24,16,1.5
1019,6,24,16,1.5
1020,6,24,16,1.5
1021,6,24,16,1.5
1022,6,24,16,1.5
1023,6,24,16,1.5
1024,6,24,16,1.5
1025,6,24,16,1.5
1026,6,24,16,1.5
1027,6,24,16,1.5
1028,6,24,16,1.5
1029,6,24,16,1.5
1030,6,24,16,1.5
1031,6,24,16,1.5
1032,6,24,16,1.5
1033,6,24,16,1.5
1034,6,24,16,1.5
1035,6,24,16,1.5
1036,6,24,16,1.5
1037,6,24,16,1.5
1038,6,24,16,1.5
1039,6,24,16,1.5
1040,6,24,16,1.5
1041,6,24,16,1.5
1042,6,24,16,1.5
1043,6,24,16,1.5
1044,6,24,16,1.5
1045,6,24,16,1.5
1046,6,24,16,1.5
1047,6,24,16,1.5
1048,6,24,16,1.5
1049,6,24,16,1.5
1050,6,24,16,1.5
1051,6,24,16,1.5
1052,6,24,16,1.5
1053,6,24,16,1.5
1054,6,24,16,1.5
1055,6,24,16,1.5
1056,6,24,16,1.5
1057,6,24,16,1.5
1058,6,24,16,1.5
1059,6,24,16,1.5
1060,6,24,16,1.5
1061,6,24,16,1.5
1062,6,24,16,1.5
1063,6,24,16,1.5
1064,6,24,16,1.5
1065,6,24,16,1.5
1066,6,24,16,1.5
1067,6,24,16,1.5
1068,6,24,16,1.5
1069,6,24,16,1.5
1070,6,24,16,1.5
1071,6,24,16,1.5
1072,6,24,16,1.5
1073,6,24,16,1.5
1074,6,24,16,1.5
1075,6,24,16,1.5
1076,6,24,16,1.5
1077,6,24,16,1.5
1078,6,24,16,1.5
1079,6,24,16,1.5
1080,6,24,16,1.5
1081,6,24,16,1.5
1082,6,24,16,1.5
1083,6,24,16,1.5
1084,6,24,16,1.5
1085,6,24,16,1.5
1086,6,24,16,1.5
1087,6,24,16,1.5
1088,6,24,16,1.5
1089,6,24,16,1.5
1090,6,24,16,1.5
1091,6,24,16,1.5
1092,6,24,16,1.5
1093,6,24,16,1.5
1094,6,24,16,1.5
1095,6,24,16,1.5
1096,6,24,16,1.5
1097,6,24,16,1.5
1098,6,24,16,1.5
1099,6,24,16,1.5
1100,6,24,16,1.5
1101,6,24,16,1.5
1102,6,24,16,1.5
1103,6,24,16,1.5
1104,6,24,16,1.5
1105,6,24,16,1.5
1106,6,24,16,1.5
