ts,step,loss,lr,tokens_per_sec,step_ms
1770824443.514953,160,4.318277,0.0003,2095.25,122.18
1770824443.658526,161,4.175898,0.0003,1787.20,143.24
1770824443.815500,162,4.227378,0.0003,1634.99,156.58
1770824443.975938,163,4.308854,0.0003,1600.37,159.96
1770824444.106653,164,4.241066,0.0003,1964.18,130.33
1770824444.231148,165,4.267037,0.0003,2062.31,124.13
1770824444.354656,166,4.222001,0.0003,2077.89,123.20
1770824444.477021,167,4.210894,0.0003,2097.83,122.03
1770824444.603231,168,4.302500,0.0003,2033.41,125.90
1770824444.728696,169,4.146161,0.0003,2045.22,125.17
1770824444.863565,170,4.233167,0.0003,1903.59,134.48
1770824445.019314,171,4.183255,0.0003,1649.65,155.18
1770824445.157489,172,4.181447,0.0003,1858.94,137.71
1770824445.293624,173,4.257501,0.0003,1885.51,135.77
1770824445.458469,174,4.298329,0.0003,1557.83,164.33
1770824445.603598,175,4.217698,0.0003,1769.44,144.68
1770824445.749270,176,4.223520,0.0003,1761.31,145.35
1770824445.878531,177,4.151413,0.0003,1985.71,128.92
1770824445.996835,178,4.207105,0.0003,2169.14,118.02
1770824446.120123,179,4.266582,0.0003,2081.69,122.98
1770824446.249917,180,4.170962,0.0003,1977.80,129.44
1770824446.399633,181,4.188281,0.0003,1714.75,149.29
1770824446.533644,182,4.172869,0.0003,1918.52,133.44
1770824446.660289,183,4.212383,0.0003,2026.23,126.34
1770824446.780372,184,4.251006,0.0003,2138.46,119.71
1770824446.901957,185,4.196274,0.0003,2111.31,121.25
1770824447.023649,186,4.298983,0.0003,2108.19,121.43
1770824447.143172,187,4.284756,0.0003,2146.96,119.24
1770824447.276127,188,4.200552,0.0003,1930.14,132.63
1770824447.419050,189,4.176091,0.0003,1796.39,142.51
1770824447.647317,190,4.175036,0.0003,1123.87,227.78
1770824447.846309,191,4.221341,0.0003,1289.25,198.57
1770824448.113030,192,4.309050,0.0003,961.51,266.25
1770824448.276261,193,4.236697,0.0003,1572.98,162.75
1770824448.413710,194,4.239177,0.0003,1870.26,136.88
1770824448.557862,195,4.241773,0.0003,1789.48,143.06
1770824448.707612,196,4.268565,0.0003,1715.06,149.27
1770824448.832520,197,4.220945,0.0003,2054.99,124.57
1770824448.956587,198,4.257304,0.0003,2068.67,123.75
1770824449.093810,199,4.223987,0.0003,1869.67,136.92
1770824449.239820,200,4.212204,0.0003,1757.54,145.66
